Service_Quality,Product_Quality,Delivery_Speed,Satisfaction_Score,Satisfaction_Category
5,6,4,6.074641049095463,1
8,5,8,6.434321096203808,1
3,8,6,5.72231342014995,1
5,1,4,2.181611536761464,0
9,7,5,7.135002477471584,1
4,7,2,4.474500224108552,0
9,3,7,8.557130002342948,1
8,3,8,7.077037303193959,1
6,1,4,3.569144794761291,0
3,4,6,3.5670358909052213,0
9,2,6,6.80644303011666,1
6,4,5,5.166226135072476,1
7,5,6,5.359068560635575,1
2,6,5,3.146206122107408,0
2,9,9,6.263629056791312,1
4,9,9,7.930131218918494,1
9,4,7,6.71373946945858,1
1,3,4,1.4936153941822103,0
1,1,9,1.4971807927215601,0
1,3,8,3.403557127970667,0
6,2,2,4.0920633353882225,0
6,8,8,7.00203231517756,1
2,8,6,4.678495366094843,0
3,9,2,4.448826255174592,0
5,9,1,5.537074490659103,1
3,2,2,2.310426415777393,0
4,5,6,5.585305913891471,1
2,5,3,2.3839434586374035,0
9,8,5,7.510851562223972,1
5,7,5,5.164283424462638,1
9,2,1,5.857075848397763,1
5,8,4,8.994079527972971,1
3,9,8,6.3773484757745855,1
6,8,2,5.230076504579809,1
6,4,2,4.159817569406984,0
2,1,5,2.478970673655536,0
3,6,8,7.1374640283816175,1
1,1,3,2.1562353359835953,0
7,2,1,0.32215208751958313,0
8,4,1,4.13617921711685,0
1,4,6,3.539863620880776,0
2,1,4,3.4769659463054126,0
4,7,4,3.691689067597215,0
6,4,8,6.662440540601514,1
3,2,7,2.7284686753326226,0
4,8,8,5.558007418394015,1
9,9,3,9.388864897919024,1
4,5,6,3.420188556634587,0
2,9,8,5.190385438021051,1
2,1,1,1.529752081269881,0
9,1,7,4.434656194909887,0
1,4,1,0.15412497336970765,0
5,1,9,6.261038363935643,1
5,2,4,4.126326065735512,0
7,4,3,4.8893502602572605,0
8,9,1,5.710747875208802,1
7,5,4,3.3863060470956556,0
3,7,4,5.46364632583275,1
6,3,3,3.6857868944823995,0
8,5,5,6.611280052677935,1
5,2,4,2.039173304719494,0
7,4,2,4.345865375844534,0
6,7,8,7.645768242262719,1
9,2,5,5.312140704116103,1
7,8,2,6.566321751967499,1
2,5,1,1.8457570261628455,0
4,8,6,5.434431421508143,1
1,1,8,2.5193705833029187,0
7,5,6,4.593375326695389,0
7,3,3,4.000006518721148,0
8,4,8,7.9227993367428375,1
3,9,8,5.592278817820066,1
8,8,7,7.233996152470148,1
5,3,8,4.834374508791037,0
7,7,8,8.031255260821057,1
6,9,8,7.8473125287620125,1
5,8,1,6.0732552826135215,1
6,9,4,6.656270184617339,1
6,4,4,5.693914798708093,1
6,7,8,8.220561586570224,1
6,2,2,3.4098523158371474,0
3,6,3,3.478398347044981,0
4,4,3,4.938267961663161,0
1,5,6,3.983187128176541,0
1,9,5,4.243776902132299,0
7,7,2,6.811019539712836,1
1,7,5,4.688087480072824,0
6,8,5,4.141544057527324,0
6,4,9,6.849759532603228,1
4,4,8,5.633857059283865,1
5,9,5,7.548010309885186,1
7,3,9,7.639362627779319,1
5,6,7,7.393107725945064,1
9,3,4,5.185450947169854,1
7,3,3,3.2122200511800534,0
1,1,3,1.2393470619219071,0
6,8,8,6.601792077169735,1
3,8,8,7.226412135930467,1
7,8,3,6.763821573683924,1
8,7,5,6.877401569190072,1
6,3,5,5.721342889618836,1
7,9,9,7.669019556896791,1
3,4,4,3.1571354611636284,0
1,2,3,-0.7986720834614198,0
8,4,3,6.082211194508319,1
8,4,6,4.6561271227163505,0
6,7,8,6.512393515483932,1
8,1,8,6.553577814234353,1
1,4,8,4.819582794711632,0
4,3,3,3.319780543797132,0
6,8,8,6.22020130664646,1
8,9,2,8.03271680135551,1
1,3,9,3.711861662380718,0
4,5,3,4.388570760051778,0
7,3,4,5.605916899763767,1
7,7,8,6.560125002275636,1
1,7,3,3.0611043895101644,0
6,8,2,4.750103524726387,0
2,6,6,4.974377169896539,0
6,2,9,5.671879092814201,1
3,3,3,2.9487683204695094,0
2,4,4,3.3535806017067773,0
4,2,4,3.6066403530362483,0
6,3,1,4.404319364327718,0
5,1,2,2.957845280698893,0
4,9,2,7.273017251509725,1
1,4,8,4.5952903899659585,0
1,8,6,2.3146612869861984,0
6,5,4,3.8330464734409935,0
8,8,6,9.520784243603718,1
1,8,2,4.1588177183206385,0
5,1,6,4.116358484561662,0
5,8,4,6.297528558314676,1
1,5,8,4.299299445250404,0
5,4,5,4.971995116280332,0
7,8,1,5.431323647710959,1
7,7,9,8.799420661471329,1
9,4,4,5.689425382127811,1
4,7,7,6.240986486916241,1
1,9,4,2.4656993157009337,0
6,1,1,3.1940038879835924,0
2,3,3,2.4775657727089495,0
6,4,5,5.3020902044970235,1
5,9,9,7.243775878109398,1
9,3,6,6.845435943732353,1
1,6,9,7.2002584653576935,1
1,5,7,4.714213407306562,0
8,7,5,8.07182834384092,1
5,6,7,6.865954621747748,1
3,8,1,1.9068896463944,0
5,8,6,4.947101362096761,0
4,7,3,5.6832322799846775,1
9,1,2,2.303333101682315,0
3,9,3,6.073744543849724,1
4,3,8,4.564260788730247,0
8,3,6,5.647452201635178,1
1,8,4,5.418411408167632,1
9,8,4,5.984665201290941,1
8,5,9,7.585142087259895,1
7,1,5,5.78891157372025,1
6,2,5,3.325531222707574,0
9,1,4,3.777214335538294,0
7,8,6,7.30482640390662,1
8,7,9,7.771877560320233,1
1,6,2,1.146521999365496,0
7,5,8,7.798416746387786,1
1,2,5,3.2615909460259176,0
6,9,6,6.685737503181707,1
8,9,3,6.6453406382115325,1
4,3,2,4.596118800931302,0
5,1,1,2.124652351663177,0
5,3,4,4.18925515343293,0
1,6,2,2.9107055363486403,0
3,1,7,3.9531088501842873,0
9,7,1,5.781459328140652,1
5,8,3,3.898493917694139,0
6,4,4,3.6767728554974477,0
8,4,1,5.4590430317839935,1
7,1,8,6.789868654168249,1
2,8,5,4.891234185338479,0
6,6,3,4.627785451882756,0
2,6,9,3.4565628204677465,0
6,6,3,4.575318529735931,0
9,7,3,5.333250353882599,1
3,5,7,4.967821844365308,0
1,2,2,0.17271879222835262,0
9,2,9,5.403715995219455,1
8,6,1,6.625544040674757,1
8,3,8,5.220859367122122,1
7,7,6,9.003693924611653,1
9,9,4,8.370634963234268,1
2,5,2,1.5097314157887858,0
1,4,2,0.6040615486312186,0
5,3,4,5.430249130549351,1
7,4,9,6.109349758767266,1
4,5,9,4.886058608942604,0
5,3,3,4.135746360458162,0
2,2,9,3.153206710553421,0
6,2,3,3.7845993909461577,0
1,8,9,6.074587549902307,1
3,9,4,3.895829670975012,0
8,9,1,5.3152248243586895,1
3,9,1,4.6009496418708675,0
7,8,6,8.92606988483579,1
1,3,8,3.9177102015602876,0
2,2,7,2.8074591320110645,0
8,5,9,6.391002421539551,1
2,1,4,2.677206666929272,0
4,8,7,5.881119395241708,1
6,3,8,5.813289650846676,1
3,7,8,5.500671096090725,1
6,3,1,3.06042674638537,0
8,8,3,7.3032882790524685,1
2,4,9,4.886515318027627,0
9,4,1,5.8732979391474895,1
2,5,7,3.811181565934077,0
9,9,3,6.236007569490638,1
7,9,9,8.557776698280712,1
2,1,6,4.094674343710203,0
7,8,4,5.712064975879104,1
9,8,1,8.31811347698494,1
4,2,1,1.832246221836256,0
7,6,1,5.802846991770158,1
3,3,7,4.533954046625883,0
4,5,1,3.5726988732475053,0
4,9,7,5.517160763743278,1
8,6,4,5.662388670895808,1
3,4,2,3.9540490828746284,0
2,6,5,3.686137609993493,0
2,6,6,5.24286682720384,1
4,6,5,3.7756188160442816,0
7,4,1,4.491031959935017,0
3,5,7,4.199448068052156,0
1,9,7,5.400882879288158,1
5,3,3,3.314894223316426,0
5,8,7,6.701496890821265,1
4,1,2,2.695299111511434,0
7,8,7,6.149952012270209,1
9,3,9,7.10292671143793,1
7,8,9,7.095202921424066,1
4,7,2,2.387864904245273,0
9,4,7,7.802332928699897,1
5,7,1,5.742058236930246,1
6,8,4,8.314011609766773,1
5,3,3,3.2644841237643467,0
8,8,2,5.823799061330624,1
9,7,1,7.063776512817156,1
9,8,7,8.515095754275242,1
3,8,5,3.4340879866315217,0
1,2,8,4.129066771749125,0
7,2,1,4.822861482773486,0
9,2,5,6.735395147275188,1
3,8,7,5.0702517072088495,1
9,3,3,5.248778037937537,1
5,6,8,6.672634112454459,1
4,3,2,1.6095292204900822,0
9,7,6,7.774521181961108,1
5,4,9,4.11446212380639,0
6,2,5,2.9153637966774024,0
7,3,4,5.12302531699928,1
2,2,2,3.1270075760155733,0
6,9,2,6.710941349418112,1
4,3,2,4.295362096195667,0
1,9,1,2.832300666356849,0
6,3,2,4.22112781736043,0
5,8,9,7.069721902902495,1
9,8,5,8.783530981265073,1
5,1,3,3.9276880408843375,0
8,1,6,5.423271918319749,1
8,7,9,7.723241989234699,1
2,5,1,1.7343575396626099,0
1,2,9,4.038792621685908,0
3,5,6,4.743784541742069,0
8,9,1,7.276557619531701,1
1,1,4,2.074430446981441,0
9,1,7,6.521059622154545,1
3,7,6,6.287464391611721,1
1,3,9,4.45570400899901,0
4,7,6,5.120874670795725,1
9,5,9,8.141679106470734,1
4,5,7,5.24602014798285,1
7,8,9,7.002437611521123,1
3,6,4,3.189062464483615,0
2,4,7,4.084227051975248,0
2,4,7,4.2477394379971445,0
4,6,2,4.512864259942555,0
9,8,7,7.931602891565677,1
1,6,6,3.958762470036518,0
3,5,4,2.5873418223808535,0
3,2,6,3.033342798094139,0
7,2,8,4.616932385676975,0
7,5,1,4.8416172326935705,0
8,6,6,6.40100454553286,1
5,1,3,2.830098775065453,0
6,6,3,3.7284191932942674,0
3,4,5,6.168695167193008,1
9,1,4,5.2649417054420935,1
6,1,2,3.8740947710024365,0
3,8,5,5.682788686484843,1
1,4,5,2.3785819886442385,0
2,1,3,2.313639361874489,0
3,3,8,6.962092329436198,1
6,7,1,4.4735927240204365,0
5,1,7,3.881139597610672,0
6,7,4,5.782638002914652,1
3,4,5,5.584387615368876,1
8,5,5,5.737861438155357,1
6,2,1,3.141748312552635,0
1,3,7,4.604857939608883,0
4,5,6,5.016943449683377,1
5,4,7,5.056825080912447,1
6,5,3,4.343159869688114,0
1,4,7,5.388126195101233,1
4,5,2,4.586751250161066,0
6,7,5,5.608150821053343,1
3,8,1,3.3551889544178994,0
4,5,9,5.998705362706094,1
1,4,1,1.0043934934970218,0
4,8,2,4.9696373700990435,0
1,4,6,4.523520189576638,0
3,5,5,4.611935484024019,0
6,9,1,5.986521362475743,1
7,7,5,6.693493502937877,1
2,2,3,2.285164566128589,0
4,1,9,5.634405206035446,1
8,8,3,4.758143372254048,0
4,9,3,4.703101970342975,0
5,2,4,1.9989264652740752,0
6,9,5,7.381416646711293,1
8,6,8,7.0693264182909274,1
3,3,5,2.262027345313503,0
9,6,7,6.9224249890652665,1
7,1,8,8.622693601498488,1
4,5,3,2.8931117147640277,0
8,5,6,7.622285269807958,1
7,9,5,7.986949714789079,1
8,4,8,7.518892213307967,1
6,5,6,6.144442857217578,1
2,3,2,4.542651676592166,0
9,1,3,5.640893673844417,1
4,6,4,5.430266303668208,1
9,9,6,8.875076042446702,1
4,4,8,5.175683035211952,1
6,5,9,5.786444078230922,1
4,8,7,5.623911387859133,1
6,2,7,3.142246337435871,0
3,8,9,6.216225198413375,1
5,6,6,5.1542150575420855,1
1,5,8,2.7225081040349637,0
5,3,7,4.768319598958634,0
7,1,8,4.079910143098456,0
4,9,3,4.961254392241368,0
9,9,2,9.303252700332662,1
4,2,3,2.666160991942564,0
6,3,3,2.67016717515091,0
2,9,4,5.285988581885572,1
4,4,6,4.019891218835005,0
4,6,5,6.32920679095165,1
1,9,7,5.945238827178281,1
8,6,3,5.84851792115405,1
8,9,6,6.4782001269319,1
9,9,4,8.48933834433369,1
1,9,6,4.235923254522701,0
3,8,5,5.957017046454911,1
5,5,9,6.512969697967362,1
1,2,1,1.3898495495396272,0
1,1,9,6.043164320264924,1
8,1,7,6.606867728233754,1
4,1,8,3.6062179577245836,0
6,9,8,8.714318130238539,1
1,8,4,3.6260887643475663,0
4,2,1,1.6155873593585244,0
8,3,2,3.644480975111353,0
7,7,3,6.323480039913827,1
8,8,4,5.567340842038504,1
1,9,3,3.745073063868082,0
9,2,3,5.323253493076847,1
5,2,6,3.8094747879966495,0
5,4,5,5.07832409410066,1
7,9,2,7.256944324526129,1
3,5,7,4.6546832798617634,0
1,9,5,6.054502635007654,1
3,1,6,3.2447599802318035,0
6,7,7,6.289682063234094,1
8,4,2,6.174303857262066,1
4,3,5,4.54212397450781,0
7,6,5,5.30825576924264,1
3,8,7,6.968400236077398,1
4,4,2,2.6722343438704916,0
6,7,9,7.01445412672548,1
4,8,9,6.963313757426087,1
6,4,9,7.727196629308886,1
7,9,6,6.914272915585516,1
5,6,9,7.4722782875726,1
3,4,7,5.168308121957343,1
9,8,8,9.672762073080774,1
5,7,8,6.084914809285493,1
8,7,8,5.722558705316213,1
2,9,1,1.7989725934024294,0
8,5,6,6.066044223778701,1
9,6,3,7.371061659527435,1
5,7,9,6.359503554850253,1
8,6,3,5.1284658183185,1
1,5,8,5.211301204082467,1
1,2,8,3.7288728647736185,0
6,5,9,5.076592165923368,1
4,2,7,5.16263304130779,1
4,1,3,3.109789127813705,0
6,3,5,4.543466299590586,0
2,9,9,7.24620361207757,1
5,1,8,4.28377270310063,0
4,7,2,6.280926842065837,1
4,2,5,3.4505638022081584,0
4,4,8,6.7802566409569955,1
6,5,9,8.21351582695277,1
5,3,7,5.140344270425121,1
7,2,2,3.8300437801067897,0
7,7,8,6.538952224545432,1
3,4,5,3.0321278133772758,0
2,5,1,2.8409076050607367,0
5,5,4,2.9713283911814834,0
8,7,5,7.594685345743228,1
8,7,5,6.276622616023416,1
3,7,1,2.2840578072232787,0
5,9,6,4.6518765631228245,0
3,4,8,4.863417121843787,0
8,2,5,5.382070888909084,1
9,8,6,8.836474492962186,1
7,9,6,6.832961499032429,1
6,3,4,4.501983957811041,0
2,5,8,6.00933971320579,1
9,6,6,6.566728656419445,1
5,3,6,5.219801872106718,1
9,6,6,6.793337088816385,1
6,8,6,7.909251505466017,1
9,8,7,8.346616441510328,1
6,8,2,5.235526447890453,1
7,3,3,4.198639626775851,0
9,8,3,6.391186450763576,1
7,9,7,5.676358861912061,1
2,4,2,2.8200928357117885,0
7,2,9,5.448455649820465,1
4,4,5,2.8126452618512885,0
5,4,5,5.9289551602851525,1
1,9,4,5.568061556807835,1
8,9,8,6.178600301469317,1
6,1,5,3.746472460283569,0
9,8,9,8.934099434199862,1
3,7,1,1.812339705840027,0
1,1,9,2.569200014758678,0
8,4,8,7.24840619939343,1
5,4,3,3.7522921667727154,0
4,4,9,6.0570293502797625,1
2,1,9,1.7001733664723258,0
1,8,1,3.6424086615188065,0
1,2,5,1.5961316322699926,0
9,4,6,6.611435553161696,1
4,9,1,5.152755774374405,1
9,4,9,7.107700599097811,1
4,5,2,4.305058492703156,0
6,5,9,8.081953393963724,1
8,9,1,6.881185178325113,1
4,9,1,5.213645183019428,1
5,3,7,5.574480972167114,1
6,6,1,4.1797827982935525,0
2,4,4,4.546707821182109,0
5,5,2,4.262198692313252,0
2,6,3,3.639163285767683,0
2,9,7,5.456861833354371,1
2,1,2,0.7217847119631343,0
5,2,1,2.8705129125482634,0
2,9,4,4.728792907200495,0
3,3,3,3.615258101241259,0
8,9,8,8.421549236016604,1
1,4,1,3.781771094533261,0
1,4,6,4.410128045934201,0
6,2,9,5.93616948352954,1
5,2,5,4.520399024704203,0
2,6,7,4.863705321211505,0
7,9,4,5.44278168122585,1
5,2,6,4.289121316598913,0
4,3,8,5.95900052010961,1
4,1,3,1.449377148784737,0
2,6,3,4.389807706973947,0
6,7,6,5.879956156018418,1
8,7,1,6.549346363984327,1
7,4,1,4.60249923683756,0
9,8,9,7.384626424022798,1
4,9,7,7.403928999924927,1
2,8,9,7.387724756368532,1
7,4,7,5.435000272250339,1
2,7,9,5.203146480449432,1
9,2,8,7.063702361026258,1
6,9,2,5.309839435176339,1
8,4,7,7.036856028978997,1
9,9,2,5.043941611907911,1
5,3,2,4.49906031662866,0
8,6,9,7.191626753732567,1
6,1,6,3.213282595605549,0
3,7,7,5.356551183073021,1
8,5,6,7.6170872625109745,1
3,3,3,2.48199449613631,0
5,6,3,5.393750930998485,1
8,3,2,3.8432534505479343,0
3,7,4,3.8006274110514804,0
6,8,1,5.791603641893388,1
4,9,8,9.541462206893476,1
8,2,4,4.3735942610012035,0
2,5,7,3.060171383521297,0
3,8,2,4.929140943243758,0
2,8,1,4.538110372040677,0
6,5,8,5.1954264289064325,1
9,1,7,5.7747211466480755,1
3,7,3,4.6820593594521105,0
7,5,1,6.050797877796624,1
2,1,5,1.353838596396772,0
6,4,5,6.195674060529046,1
9,1,9,4.946794978374114,0
8,2,8,6.053162076989488,1
8,6,8,7.256658306514046,1
2,1,6,2.793881950463745,0
5,9,8,6.447458240112783,1
7,1,3,4.589644219348119,0
9,2,7,5.123272920562738,1
8,3,1,2.984918104857901,0
9,6,1,6.436821992843477,1
9,4,8,7.543795650245504,1
3,7,9,7.6425025438384555,1
9,7,1,6.463814760067479,1
4,5,7,4.660964874357917,0
2,8,4,4.107456872553997,0
7,4,1,4.831215745768726,0
7,3,8,5.61211241841681,1
2,9,2,4.217603967135946,0
6,6,1,3.9873651720433023,0
4,9,5,5.860355947715181,1
6,4,7,5.43157593804019,1
9,9,8,8.672019203103948,1
1,7,5,3.5694629020249753,0
2,5,2,3.5505937737588384,0
6,2,1,3.573771409532324,0
8,3,9,5.202077495022715,1
2,8,3,4.103188332953438,0
6,2,1,3.6865659645145774,0
8,1,6,5.4177391549154095,1
7,4,4,4.732186535556482,0
5,3,3,4.005226458717753,0
8,7,2,6.520516659391515,1
6,5,7,6.745735854390608,1
6,6,2,3.5138419686738622,0
3,7,4,3.0056376265781206,0
9,2,4,5.440903056695177,1
1,8,8,4.0365784134885,0
4,1,7,3.5444266338912125,0
3,6,6,4.278956711062319,0
5,8,1,4.689460940875427,0
4,7,1,2.296974387372572,0
6,7,2,5.3792262949083565,1
6,4,7,7.271477504385731,1
1,4,9,5.306753521559332,1
5,9,7,8.183307254432735,1
3,2,3,3.456323832565089,0
4,2,5,3.728019950183686,0
1,1,9,4.2371628886951145,0
4,1,8,4.635468179901452,0
3,6,2,4.574782601237788,0
4,1,4,2.243421948300771,0
2,7,6,6.215779640743773,1
4,1,5,4.121458914913082,0
9,4,5,5.8081208316590365,1
6,1,1,2.307320147945946,0
5,9,3,6.880292950122527,1
8,3,3,5.017341359412186,1
5,5,3,4.355778110322268,0
8,6,9,6.326649862465984,1
5,1,4,3.6708778784959315,0
9,3,2,6.658352449875918,1
3,1,7,4.572966091240476,0
2,7,6,5.804185419215853,1
7,9,7,6.486661215097603,1
7,3,1,2.638999318409651,0
1,9,3,2.927785268214977,0
7,6,7,6.1143556199974665,1
3,1,9,3.854619180909062,0
9,5,5,7.081617128766713,1
7,3,8,6.727457955745623,1
2,7,7,5.126007273809109,1
3,2,4,2.9837700745090743,0
1,6,7,7.2361154870922055,1
1,4,9,5.339253677368928,1
3,5,4,2.6893676730591958,0
9,2,6,5.098266979266368,1
8,6,1,4.6327361908416815,0
4,5,7,3.7042543812947817,0
3,2,5,3.082326140759156,0
8,4,7,6.939610340554872,1
5,6,6,6.116690147693335,1
5,8,1,4.790585559124058,0
8,3,5,6.886631528096675,1
5,8,8,4.00756766184558,0
1,2,6,3.195261976068274,0
7,3,9,7.431656015769495,1
6,7,1,4.599082326781372,0
5,2,1,2.195950286264213,0
4,1,4,2.6009731266089426,0
8,2,7,4.450930942399224,0
9,7,7,6.893179912158154,1
3,9,3,6.429618494138705,1
6,7,6,6.98709337452772,1
5,6,7,6.173819504067033,1
2,7,9,5.166854745631435,1
6,4,8,5.674968756832247,1
3,4,5,4.121550883996747,0
1,6,7,5.207200156148555,1
8,6,7,6.064599287636085,1
7,2,2,3.433401987311575,0
2,9,6,4.45630041836439,0
2,3,5,2.6116516846032747,0
7,9,8,7.390319228385093,1
2,9,7,6.410411821017531,1
3,7,7,5.658066469262147,1
4,8,5,3.0171701237485746,0
5,5,5,5.498297341076644,1
9,4,1,4.292645227234666,0
2,5,8,5.333963378368299,1
1,4,4,4.017333737385725,0
1,7,3,2.4971548116678557,0
3,9,3,5.5321670838173675,1
4,7,6,4.463351377132944,0
2,4,6,4.698541180351673,0
6,4,8,4.170508213703612,0
8,3,9,6.1746576960737825,1
2,3,8,3.822678248806063,0
3,6,6,4.34859312033404,0
1,9,8,5.221803844001376,1
1,2,3,1.9667350050120311,0
1,8,7,4.190177073406567,0
5,4,9,5.925521855310463,1
6,5,4,5.764750226866316,1
3,5,3,2.023447716399243,0
5,2,5,2.825871080902272,0
3,2,1,1.4242212273336454,0
4,6,1,3.8541979687750256,0
5,6,5,5.542883655973407,1
7,8,4,7.243118648047252,1
3,6,9,6.715113523486894,1
8,9,2,4.300896605493703,0
1,2,4,2.437668010668185,0
2,3,9,4.266141920666812,0
2,9,8,5.494385975413868,1
4,3,4,2.970510597731316,0
7,8,1,5.307039444378143,1
4,7,8,6.944772279818794,1
7,4,4,4.421800802340117,0
6,3,5,6.491412645649616,1
1,7,8,6.956874605765564,1
2,3,5,3.4905356654149613,0
2,6,6,7.259413103401754,1
6,4,3,5.048132000676256,1
3,3,2,3.726867963020422,0
7,3,1,5.151864263387362,1
8,8,2,3.8219810203618483,0
1,3,5,2.691152616826137,0
8,4,6,7.256674866721355,1
8,9,9,8.223613112192899,1
9,3,8,7.455971849131965,1
1,7,9,6.77891842729764,1
5,9,7,5.3595828138327795,1
2,7,4,3.848994522895997,0
5,4,7,6.33999242848115,1
9,2,2,3.6649914347846497,0
8,4,5,5.662575068093945,1
5,8,4,5.483742713469636,1
8,7,1,4.913075095356561,0
5,9,2,5.993076945402598,1
3,7,6,4.026644657019075,0
3,4,3,3.200711852133469,0
8,9,9,9.555848260638797,1
8,3,4,6.105186214186365,1
1,9,1,4.446459020807904,0
2,7,9,6.337490042684063,1
2,9,3,4.749436456613003,0
1,2,7,3.2473230858645246,0
4,5,6,3.49311345602069,0
2,4,4,3.526062452435608,0
3,5,7,5.033680804584717,1
6,7,1,3.2083106112109117,0
6,9,3,6.9634067432089,1
3,5,8,6.329064760924652,1
4,4,2,4.564666179910545,0
4,2,1,2.878637754715101,0
9,2,5,4.883452280975672,0
8,9,1,4.641382746728471,0
2,3,2,2.263662204692835,0
6,3,4,3.9388228271018964,0
6,3,7,4.656323226845141,0
4,9,4,7.165396881007793,1
1,7,9,4.367274904355067,0
4,1,2,0.7729967055954101,0
3,8,1,1.574330007938474,0
7,3,8,7.6524247608129,1
8,1,6,5.001788044705989,1
1,8,9,4.05669745943076,0
4,4,6,3.8679322398744036,0
8,5,3,4.075069935421503,0
2,2,5,1.8279298000274693,0
5,8,7,6.322977019287448,1
9,7,3,6.743878482667589,1
8,7,7,4.5525624175145865,0
5,2,1,3.994390802627633,0
4,8,3,5.820919713312045,1
3,6,2,1.49951658109496,0
5,2,7,5.29995166822214,1
7,2,9,5.883484332088062,1
2,5,6,4.153680768564403,0
8,1,2,4.793843248549271,0
5,8,9,5.98646663078256,1
7,8,7,7.220246276927113,1
2,7,9,4.951780146543884,0
1,1,4,2.496851399273918,0
9,9,6,8.440188617672817,1
8,1,5,4.258752504374211,0
6,6,4,5.413556382862865,1
7,3,2,5.582355747406742,1
6,7,4,4.845533309524892,0
4,2,5,3.291418822455106,0
3,1,7,4.597788977631179,0
3,2,1,1.308149696405208,0
4,8,2,4.755888903824354,0
5,1,2,0.09021400194606155,0
3,8,3,3.8877425106394443,0
1,2,3,2.0967593459138167,0
9,5,1,3.2999135726575264,0
7,9,6,8.36349057113258,1
8,1,8,5.123933980250414,1
7,2,5,5.119491029416758,1
6,7,5,5.561324576507998,1
8,4,2,4.486100077476175,0
6,3,5,5.054293100664867,1
4,7,4,2.5057974913084284,0
5,5,3,5.928815018818216,1
5,3,9,6.240397345776858,1
5,4,5,2.905575109924751,0
4,9,1,3.5761677066660016,0
7,3,9,7.442531276992426,1
2,5,3,3.098637083508197,0
8,9,1,6.959748368322666,1
1,8,7,5.090775218177094,1
6,1,7,5.319917245146219,1
5,1,9,1.9812001568863566,0
2,4,5,3.456627951650219,0
9,5,2,4.434375763847479,0
7,6,9,7.692595259761947,1
1,3,6,3.5464210453498985,0
6,6,6,6.219594297161343,1
3,2,7,2.7918616260986715,0
6,7,5,7.133074406028729,1
2,1,3,3.256473711348465,0
2,1,8,3.211160915274286,0
2,2,2,1.1660128952824984,0
8,6,3,4.160466781367237,0
8,3,7,5.476770102566904,1
9,7,7,8.423327802090352,1
5,9,4,6.521434346566668,1
5,4,9,5.7778531610708015,1
8,6,1,5.309213977444688,1
8,6,4,4.239443846096838,0
8,4,7,8.609898120298148,1
7,9,7,8.3820481858717,1
5,3,7,4.599896993639282,0
9,3,5,5.168058640107244,1
2,8,7,5.365717113333712,1
5,2,1,2.3609345861702975,0
7,9,6,7.623975773358539,1
9,7,6,7.790225149397099,1
9,2,4,6.151628178310231,1
4,8,9,5.710504751141525,1
3,4,4,2.1336359987499485,0
3,9,5,6.521190358601254,1
7,6,2,5.221757311884852,1
4,7,7,4.969539085071282,0
6,4,6,4.763015932757118,0
4,8,7,7.3221674399970444,1
3,1,8,2.379740828887778,0
4,5,6,6.218389114524974,1
9,4,7,6.727215503299319,1
7,4,3,5.38125121928947,1
2,1,1,1.4251424573175049,0
8,6,3,5.705858709337652,1
1,5,5,2.24900371172474,0
5,4,2,4.29632438591861,0
2,4,7,3.67303982135761,0
